施設種別,都道府県,市区町村,施設名,住所,郵便番号,設置者法人名,運営委託先法人名,設置区分,設置パターン,定員合計,在籍児童合計,充足率,開所時間,開所曜日,施設HP,出典
幼保連携型認定こども園,長崎県,長崎市,認定こども園天童幼稚園・天童保育園,長崎県長崎市古賀町１５５３－５,851-0101,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,認定こども園富士幼稚園　コスモス保育園,長崎県長崎市葉山１丁目２９－３,852-8053,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,認定こども園百合幼稚園・百合保育園,長崎県長崎市葉山１丁目３－１９,852-8053,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,認定こども園長崎南山幼稚園,長崎県長崎市音無町９－３４,852-8044,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,認定こども園長崎小鳩幼稚園・長崎小鳩保育園,長崎県長崎市京泊１丁目４－１１,851-2211,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,長崎市立認定こども園長崎幼稚園,長崎県長崎市魚の町１－１６,850-0874,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,あやめ東幼稚園,長崎県長崎市戸石町１４７６－１３,851-0113,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,いなさ幼稚園,長崎県長崎市江の浦町１－２０,852-8007,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,おおとり幼稚園,長崎県長崎市深堀町１－２９３－５,851-0301,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,くるみ北幼稚園,長崎県長崎市横尾４丁目１－３０,852-8065,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,くるみ西幼稚園,長崎県長崎市大浜町２９８番地,850-0066,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,みどり幼稚園,長崎県長崎市若竹町５１－１１,852-8047,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,みのりが丘幼稚園,長崎県長崎市大手３－１１－１,852-8127,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,みやま幼稚園,長崎県長崎市滑石３丁目１９番５０号,852-8061,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,ダイヤランド青い鳥幼稚園,長崎県長崎市ダイヤランド３丁目８番５号,850-0963,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,住吉幼稚園,長崎県長崎市千歳町１５－１９,852-8135,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,光華幼稚園,長崎県長崎市清水町５－４,852-8041,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,大園幼稚園,長崎県長崎市滑石６丁目１３番７号,852-8061,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,大浦信愛幼稚園,長崎県長崎市小菅町２７番２号,850-0934,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,小ケ倉幼稚園,長崎県長崎市小ヶ倉町１丁目５７０番地の１,850-0961,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,小江原ひかり幼稚園,長崎県長崎市小江原１－７－７,851-1132,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,日見幼稚園,長崎県長崎市網場町４３２,851-0123,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,晧台寺幼稚園,長崎県長崎市寺町１番地,850-0872,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,深堀純心幼稚園,長崎県長崎市深堀町５－２９１,851-0301,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,滑石中央幼稚園,長崎県長崎市滑石４丁目１３９６番地４２,852-8061,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,矢上幼稚園,長崎県長崎市平間町４１２番地２３,851-0136,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,第二女の都幼稚園,長崎県長崎市女の都４丁目１２－５,852-8144,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,聖アントニオ幼稚園,長崎県長崎市三原２－２３－９,852-8123,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,聖母の騎士東長崎幼稚園,長崎県長崎市田中町３６６番地,851-0134,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,諏訪幼稚園,長崎県長崎市上西山町１８番１号,850-0006,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,長崎信愛幼稚園,長崎県長崎市上野町１０番２４号,852-8113,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,長崎大学教育学部附属幼稚園,長崎県長崎市文教町４－２３,852-8131,,,国立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,長崎女子短期大学付属幼稚園,長崎県長崎市弥生町１９番２号,850-0823,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長崎県,長崎市,長崎市立高島幼稚園,長崎県長崎市高島町２７０９番地１１,851-1315,,,公立,,,,,,,,文部科学省_学校コード一覧
